Gene	ID	Count
AQP8	661	2
AQP9	662	12
AQR	663	13
AR	664	6
ARAF	665	11
ARAP1	666	20
ARAP2	667	18
ARC	668	3
ARCN1	669	18
AREG	670	5
ARF1	671	12
ARF3	672	6
ARF4	673	9
ARF5	674	8
ARF6	675	2
ARFGAP2	676	13
ARFGAP3	677	40
ARFGEF1	678	43
ARFGEF2	679	17
ARFIP1	680	12
ARFIP2	681	5
ARFRP1	682	6
ARG2	683	19
ARGLU1	684	5
ARHGAP1	685	9
ARHGAP10	686	48
ARHGAP11A	687	6
ARHGAP12	688	15
ARHGAP15	689	33
ARHGAP17	690	24
ARHGAP18	691	12
ARHGAP19	692	5
ARHGAP20	693	7
ARHGAP21	694	14
ARHGAP22	695	75
ARHGAP23	696	21
ARHGAP24	697	8
ARHGAP25	698	11
ARHGAP26	699	36
ARHGAP27	700	5
ARHGAP28	701	15
ARHGAP29	702	12
ARHGAP4	703	4
ARHGAP5	704	12
ARHGAP6	705	4
ARHGAP9	706	4
ARHGDIA	707	6
ARHGDIB	708	11
ARHGDIG	709	5
ARHGEF1	710	10
ARHGEF10	711	64
ARHGEF10L	712	130
ARHGEF11	713	8
ARHGEF15	714	2
ARHGEF16	715	2
ARHGEF18	716	15
ARHGEF19	717	5
ARHGEF2	718	17
ARHGEF3	719	10
ARHGEF4	720	4
ARHGEF5	721	6
ARHGEF6	722	5
ARHGEF7	723	128
ARHGEF9	724	4
ARID1A	725	33
ARID1B	726	48
ARID2	727	34
ARID3A	728	15
ARID3B	729	14
ARID3C	730	11
ARID4A	731	6
ARID4B	732	7
ARID5A	733	11
ARID5B	734	22
ARIH1	735	21
ARIH2	736	22
ARL1	737	5
ARL10	738	4
ARL11	739	2
ARL13B	740	18
ARL15	741	37
ARL16	742	2
ARL2	743	6
ARL2BP	744	5
ARL3	745	2
ARL4A	746	5
ARL4C	747	2
ARL4D	748	6
ARL5A	749	4
ARL5B	750	13
ARL6	751	7
ARL6IP1	752	8
ARL6IP4	753	8
ARL6IP5	754	6
ARL6IP6	755	8
ARL8B	756	4
ARL9	757	6
ARMC1	758	8
ARMC10	759	12
ARMC2	760	11
ARMC3	761	9
ARMC4	762	14
ARMC5	763	15
ARMC6	764	22
ARMC7	765	17
ARMC8	766	17
ARMC9	767	26
ARMCX2	768	6
ARMCX3	769	6
ARMCX6	770	2
ARNT2	771	19
ARNTL	772	25
ARNTL2	773	12
ARPC1A	774	22
ARPC1B	775	18
ARPC2	776	6
ARPC3	777	4
ARPC4	778	4
ARPC5	779	6
ARPC5L	780	9
ARPM1	781	7
ARPP19	782	3
ARR3	783	6
ARRB1	784	28
ARRB2	785	10
ARRDC1	786	3
ARRDC2	787	9
ARRDC3	788	9
ARRDC4	789	10
