Gene	ID	Count
NM_001123215	853	2
NM_001123216	854	6
NM_001123217	855	77
NM_001123218	856	3
NM_001123219	857	25
NM_001123220	858	13
NM_001123221	859	24
NM_001123222	860	38
NM_001123223	861	32
NM_001123224	862	12
NM_001126101	863	18
NM_001127224	864	16
NM_001128433	865	3
NM_001128434	866	6
NM_001128435	867	39
NM_001128437	868	4
NM_001128438	869	25
NM_001128442	870	34
NM_001128443	871	41
NM_001128444	872	12
NM_001128445	873	8
NM_001128447	874	4
NM_001128448	875	6
NM_001128449	876	23
NM_001128450	877	12
NM_001128452	878	10
NM_001128453	879	8
NM_001128454	880	5
NM_001128455	881	8
NM_001128456	882	6
NM_001128457	883	12
NM_001128458	884	26
NM_001128459	885	21
NM_001128460	886	6
NM_001128461	887	16
NM_001128462	888	21
NM_001128463	889	10
NM_001128464	890	39
NM_001128466	891	2
NM_001128468	892	7
NM_001128470	893	11
NM_001128471	894	38
NM_001128472	895	8
NM_001128473	896	14
NM_001128474	897	5
NM_001128475	898	20
NM_001128476	899	7
NM_001128477	900	5
NM_001128478	901	4
NM_001128479	902	15
NM_001128480	903	11
NM_001128481	904	4
NM_001128482	905	6
NM_001128483	906	18
NM_001128485	907	7
NM_001128486	908	8
NM_001128487	909	13
NM_001128489	910	10
NM_001128490	911	30
NM_001128491	912	20
NM_001128492	913	15
NM_001129805	914	68
NM_001129946	915	7
NM_001129947	916	12
NM_001129948	917	7
NM_001129950	918	6
NM_001129951	919	11
NM_001129952	920	6
NM_001129953	921	14
NM_001129954	922	7
NM_001129956	923	7
NM_001129958	924	7
NM_001129961	925	13
NM_001129962	926	10
NM_001129963	927	4
NM_001129964	928	3
NM_001129965	929	39
NM_001129966	930	39
NM_001129967	931	22
NM_001129968	932	4
NM_001129969	933	23
NM_001129970	934	8
NM_001129971	935	1
NM_001129972	936	7
NM_001129973	937	3
NM_001129976	938	39
NM_001129978	939	2
NM_001130018	940	4
NM_001130019	941	4
NM_001130211	942	3
NM_001130213	943	35
NM_001130215	944	172
NM_001130224	945	6
NM_001130226	946	9
NM_001130238	947	1
NM_001130241	948	34
NM_001130243	949	11
NM_001130246	950	1
NM_001130248	951	5
NM_001130531	952	23
NM_001130532	953	17
NM_001130534	954	9
NM_001130729	955	1
NM_001130730	956	3
NM_001130731	957	8
NM_001130732	958	11
NM_001130733	959	13
NM_001130734	960	23
NM_001130735	961	10
NM_001130736	962	8
NM_001130972	963	6
NM_001130973	964	6
NM_001130974	965	122
NM_001131045	966	8
NM_001131046	967	9
NM_001134343	968	8
NM_001134344	969	1
NM_001134347	970	28
NM_001134348	971	1
NM_001134350	972	9
NM_001134351	973	4
NM_001134352	974	7
NM_001134353	975	19
NM_001134354	976	6
NM_001134355	977	12
NM_001134356	978	4
NM_001134357	979	11
NM_001134358	980	11
NM_001134823	981	4
NM_001134964	982	6
NM_001134965	983	342
NM_001134967	984	11
NM_001134968	985	8
NM_001135680	986	52
NM_001135959	987	15
NM_001135960	988	6
NM_001135961	989	19
NM_001135962	990	10
NM_001135963	991	2
NM_001135965	992	5
NM_001135966	993	2
NM_001136184	994	9
NM_001136211	995	45
NM_001136212	996	15
NM_001136510	997	4
NM_001137607	998	12
NM_001137619	999	7
NM_001137620	1000	1
NM_001137621	1001	5
NM_001137624	1002	6
NM_001137625	1003	10
NM_001137627	1004	40
NM_001137628	1005	6
NM_001137629	1006	14
NM_001137630	1007	5
NM_001137631	1008	22
NM_001137632	1009	11
NM_001137634	1010	2
NM_001137636	1011	8
NM_001137637	1012	8
NM_001137639	1013	15
NM_001137640	1014	44
NM_001139470	1015	7
NM_001139471	1016	10
NM_001139472	1017	12
NM_001139473	1018	20
NM_001139475	1019	12
NM_001139476	1020	6
NM_001141984	1021	9
NM_001141985	1022	4
NM_001141986	1023	9
NM_001141988	1024	23
NM_001141989	1025	6
NM_001141990	1026	17
NM_001141991	1027	13
NM_001142666	1028	8
NM_001142667	1029	6
NM_001142668	1030	22
NM_001142669	1031	39
NM_001142827	1032	10
NM_001142828	1033	12
NM_001142829	1034	9
NM_001142830	1035	9
NM_001142831	1036	42
NM_001142832	1037	8
NM_001142834	1038	43
NM_001142835	1039	5
NM_001142838	1040	4
NM_001142839	1041	5
NM_001142840	1042	33
NM_001142841	1043	9
NM_001142842	1044	12
NM_001142843	1045	72
NM_001142844	1046	23
NM_001142845	1047	30
NM_001142846	1048	7
NM_001142896	1049	17
NM_001142897	1050	8
NM_001143690	1051	23
NM_001143692	1052	56
NM_001143694	1053	5
NM_001143695	1054	27
NM_001143696	1055	23
NM_001143697	1056	53
NM_001143699	1057	44
NM_001143701	1058	8
NM_001143702	1059	3
NM_001143703	1060	8
NM_001143704	1061	13
NM_001143706	1062	13
NM_001143707	1063	17
NM_001143708	1064	6
NM_001143710	1065	7
NM_001143713	1066	8
NM_001143714	1067	11
NM_001143716	1068	12
NM_001143717	1069	14
NM_001143718	1070	9
NM_001143719	1071	17
NM_001143720	1072	10
NM_001143721	1073	2
NM_001143722	1074	7
NM_001143723	1075	27
NM_001143724	1076	17
NM_001143725	1077	32
NM_001143726	1078	9
NM_001143727	1079	6
NM_001143928	1080	5
NM_001143929	1081	16
NM_001143930	1082	23
NM_001144110	1083	25
NM_001144111	1084	8
NM_001144112	1085	12
NM_001144113	1086	20
NM_001144114	1087	5
NM_001144115	1088	13
NM_001144116	1089	4
NM_001144117	1090	7
NM_001144118	1091	10
NM_001144119	1092	1
NM_001144120	1093	18
NM_001144121	1094	19
NM_001144122	1095	15
NM_001144123	1096	5
NM_001144124	1097	48
NM_001144841	1098	7
NM_001144842	1099	5
NM_001144843	1100	10
NM_001144844	1101	26
NM_001144846	1102	7
NM_001144847	1103	2
NM_001144901	1104	16
NM_001144926	1105	10
NM_001144930	1106	9
NM_001145019	1107	22
NM_001145022	1108	5
NM_001145130	1109	12
NM_001145217	1110	12
NM_001145218	1111	26
NM_001145219	1112	3
NM_001145220	1113	12
NM_001145221	1114	11
NM_001145222	1115	2
NM_001145377	1116	11
NM_001145378	1117	20
NM_001145379	1118	16
NM_001145380	1119	6
NM_001145381	1120	5
NM_001145382	1121	9
NM_001145383	1122	11
NM_001145384	1123	7
NM_001145385	1124	13
NM_001145386	1125	7
NM_001145388	1126	14
NM_001145749	1127	33
NM_001145750	1128	11
NM_001145751	1129	21
NM_001145752	1130	8
NM_001145753	1131	59
NM_001145754	1132	6
NM_001145866	1133	4
NM_001145867	1134	10
NM_001145868	1135	21
NM_001145985	1136	60
NM_001145986	1137	7
NM_001145987	1138	19
NM_001146127	1139	9
NM_001146128	1140	21
NM_001146129	1141	5
NM_001146130	1142	8
NM_001146300	1143	2
NM_001159304	1144	9
NM_001159307	1145	8
NM_001159308	1146	3
NM_001159310	1147	13
NM_001159311	1148	19
NM_001159312	1149	10
NM_001159592	1150	11
NM_001159608	1151	7
NM_001159613	1152	12
NM_001159614	1153	5
NM_001159615	1154	5
NM_001159659	1155	8
NM_001159777	1156	1
NM_001159778	1157	2
